number,portrait,name,date_of_birth,date_of_death,term,party,election,vice_president
20,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/James_Abram_Garfield%2C_photo_portrait_seated_%283x4_cropped_b%29.jpg/250px-James_Abram_Garfield%2C_photo_portrait_seated_%283x4_cropped_b%29.jpg,James A. Garfield,1831-11-19,1881-09-19,"March 4, 1881 – September 19, 1881",Republican,1880,Chester A. Arthur
21,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Chester_A._Arthur_by_Abraham_Bogardus_%28cropped%29_%282%29.jpg/250px-Chester_A._Arthur_by_Abraham_Bogardus_%28cropped%29_%282%29.jpg,Chester A. Arthur,1829-10-05,1886-11-18,"September 19, 1881 – March 4, 1885",Republican,,
22,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Grover_Cleveland_by_Charles_Milton_Bell_color_change_%283x4_cropped_b%29.jpg/250px-Grover_Cleveland_by_Charles_Milton_Bell_color_change_%283x4_cropped_b%29.jpg,Grover Cleveland,1837-03-18,1908-06-24,"March 4, 1885 – March 4, 1889",Democratic,1884,Thomas A. Hendricks
23,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896_%284x5_cropped%29.jpg/250px-Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896_%284x5_cropped%29.jpg,Benjamin Harrison,1833-08-20,1901-03-13,"March 4, 1889 – March 4, 1893",Republican,1888,Levi P. Morton
24,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/StephenGroverCleveland.jpg/250px-StephenGroverCleveland.jpg,Grover Cleveland,1837-03-18,1908-06-24,"March 4, 1893 – March 4, 1897",Democratic,1892,Adlai Stevenson I
25,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/William_McKinley_Portrait_%283x4_cropped%29.jpg/250px-William_McKinley_Portrait_%283x4_cropped%29.jpg,William McKinley,1843-01-29,1901-09-14,"March 4, 1897 – September 14, 1901",Republican,1896; 1900,Garret Hobart; Theodore Roosevelt
26,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Theodore_Roosevelt_by_the_Pach_Bros_%284x5_cropped%29.jpg/250px-Theodore_Roosevelt_by_the_Pach_Bros_%284x5_cropped%29.jpg,Theodore Roosevelt,1858-10-27,1919-01-06,"September 14, 1901 – March 4, 1909",Republican,1904,Charles W. Fairbanks
27,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/William_Howard_Taft_by_Pach_Brothers_%283x4_ropped%29.jpg/250px-William_Howard_Taft_by_Pach_Brothers_%283x4_ropped%29.jpg,William Howard Taft,1857-09-15,1930-03-08,"March 4, 1909 – March 4, 1913",Republican,1908,James S. Sherman
28,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/President_Woodrow_Wilson_Harris_%26_Ewing_%283x4_cropped_c%29.jpg/250px-President_Woodrow_Wilson_Harris_%26_Ewing_%283x4_cropped_c%29.jpg,Woodrow Wilson,1856-12-28,1924-02-03,"March 4, 1913 – March 4, 1921",Democratic,1912; 1916,Thomas R. Marshall
29,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Warren_G_Harding-Harris_%26_Ewing_%283x4_cropped%29.jpg/250px-Warren_G_Harding-Harris_%26_Ewing_%283x4_cropped%29.jpg,Warren G. Harding,1865-11-02,1923-08-02,"March 4, 1921 – August 2, 1923",Republican,1920,Calvin Coolidge
